ID,Edad ,Age,Gender,Municipalitie,Ecosystem,Community,Place,Reproduccion ,Associated,Abundace,Ene,Feb,Mar,Abr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Threats,Cotomaquilitl,Xoxoco,Pitzahuaquilitl,Xaxalto,Huitzioquilitl,Michiquilitl,Teposquilitl,Xoxoco1,Huaquilitlpoxahuac,Huaquilitlixtac,YamoleoTototlquilitl,Atetziltzi,Cayochoquilitl,Xoxoco2,Chichikquilitl,Index1,Index,Cotomaquilitl,Xoxoco_C,Pitzahuaquilitl_C,Xaxalto_C,Huitzioquilitl_C,Michiquilitl_C,Teposquilitl_C,Xoxoco1_C,Huaquilitl poxahuac_C,Huaquilitl ixtac_C,YamoleoTototlquilitl_C,Atetziltzi_C,Cayochoquilitl_C,Xoxoco2_C,Chichikquilitl_C,Observaciones_C
1,64,56-90,F,Tlaquilpa,Pine-oak forest,Pixcuahutla,Milpa,siembra,Milpa,Había más,0,0,0,0,1,1,0,0,0,0,0,0,Animales domesticos,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,4,26.7,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,Tomaquilitl
2,40,31-41,F,Tlaquilpa,Pine-oak forest,Pixcuahutla,Milpa,Regeneracion natural y siembra,Milpa,Había más,0,0,0,0,1,1,1,0,0,0,0,0,Uso de quimicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6.7,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0
3,33,31-41,F,Tlaquilpa,Pine-oak forest,Pixcuahutla,Monte,Regeneracion natural y siembra,Arboles y Arbustos ,Había más,0,0,0,0,0,1,1,0,0,0,0,0,Suelo infertil,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,4,26.7,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0
4,87,56-90,F,Tlaquilpa,Pine-oak forest,Pixcuahutla,Milpa y Monte,Regeneracion natural ,Milpa y Arboles,Había más,0,0,1,1,1,0,0,0,0,0,0,0,Amnimales domesticos no se conservan las semillas,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,4,26.7,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0
5,58,56-90,F,Tlaquilpa,Pine-oak forest,Pixcuahutla,Milpa,Regeneracion natural ,Milpa,Había más,0,0,0,0,0,0,1,1,0,0,0,0,Infertilidad del suelo ,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,4,26.7,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0
6,67,56-90,M,Tlaquilpa,Pine-oak forest,Pixcuahutla,Milpa,Regeneracion natural ,Milpa,Sigue igual,1,1,1,0,0,0,0,0,0,0,0,0,Abandono del campo,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,3,20,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0
7,56,56-90,F,Tlaquilpa,Pine-oak forest,Pixcuahutla,Milpa,Regeneracion natural ,Milpa,Había más,0,0,0,0,0,0,1,0,0,0,0,0,Uso de quimicos,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,4,26.7,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0
8,37,31-41,M,Tlaquilpa,Pine-oak forest,Pixcuahutla,Milpa,Regeneracion natural y siembra,Milpa,Había más,0,0,0,0,0,1,1,0,0,0,0,0,Uso de quimicos,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,5,33.3,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0
9,40,31-41,F,Tlaquilpa,Pine-oak forest,Pixcuahutla,Milpa,Regeneracion natural y siembra,Milpa,Había más,0,0,0,0,0,1,1,0,0,0,0,0,Abandono del campo,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,5,33.3,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0
10,50,42-55,F,Tlaquilpa,Pine-oak forest,Pixcuahutla,Milpa,Regeneracion natural y siembra,Milpa,Había más,0,0,0,0,0,1,1,0,0,0,0,0,"Animales domesticos, abandono del campo",0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,5,33.3,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0
11,63,56-90,F,Tlaquilpa,Pine-oak forest,Pixcuahutla,Milpa,Siembra,"Milpa , haba",Había más,0,0,0,0,0,1,1,0,0,0,0,0,Uso de quimicos,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3,20,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0
12,15,18-30,F,Tlaquilpa,Pine-oak forest,Pixcuahutla,Milpa,Regeneracion natural ,Milpa,Había más,0,0,0,0,0,1,1,0,0,0,0,0,Uso de quimicos,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,13.3,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0
13,53,42-55,F,Tlaquilpa,Pine-oak forest,Pixcuahutla,Milpa y acahual,Regeneracion natural y siembra,Milpa,Había más,0,0,0,0,1,1,0,0,0,0,0,0,Uso de quimicos,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,5,33.3,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0
